Artikelnr	Schlüssel	Preis	AZ	Strom	Gewicht(kg)	Photowert
-115	MG_MXLED_GEH50_NL2340_SX_2.3	298	0	0	4.57	
-116	MG_MXLED_GEH50_NL2600_SX_2.3	338	0	0	5.06	
-117	MG_MXLED_GEH50_NL2860_SX_2.3	378	0	0	5.55	
-118	MG_MXLED_GEH50_NL3120_SX_2.3	433	0	0	6.04	
-119	MG_MXLED_GEH50_NL3380_SX_2.3	488	0	0	6.53	
-120	MG_MXLED_GEH50_NL3640_SX_2.3	543	0	0	7.02	
-121	MG_MXLED_GEH50_NL3900_SX_2.3	598	0	0	7.51	
-122	MG_MXLED_GEH50_NL4160_SX_2.3	653	0	0	0.008	
9572	MG_MXLED_LEDHFL_NL260_SX_2.3	12.4	0	0	0.35	
9573	MG_MXLED_LEDHFL_NL390_SX_2.3	18.6	0	0	0.48	
9574	MG_MXLED_LEDHFL_NL520_SX_2.3	24.8	0	0	0.62	
9575	MG_MXLED_LEDHFL_NL650_SX_2.3	31	0	0	0.75	
9576	MG_MXLED_LEDHFL_NL780_SX_2.3	37.2	0	0	0.88	
9577	MG_MXLED_LEDHFL_NL910_SX_2.3	43.4	0	0	0.001	
9578	MG_MXLED_LEDHFL_NL1040_SX_2.3	54.8	0	0	1.14	
9579	MG_MXLED_LEDHFL_NL1300_SX_2.3	60.85	0	0	1.4	
9580	MG_MXLED_LEDHFL_NL1560_SX_2.3	68	0	0	1.66	
-123	MG_MXLED_LEDHFL_NL1820_SX_2.3	79.33	0	0	1.92	
-124	MG_MXLED_LEDHFL_NL2080_SX_2.3	90.67	0	0	2.18	
-125	MG_MXLED_LEDHFL_NL2340_SX_2.3	102	0	0	2.44	
-126	MG_MXLED_LEDHFL_NL2600_SX_2.3	113.33	0	0	2.7	
-127	MG_MXLED_LEDHFL_NL2860_SX_2.3	124.67	0	0	2.96	
-128	MG_MXLED_LEDHFL_NL3120_SX_2.3	136	0	0	3.22	
-129	MG_MXLED_LEDHFL_NL3380_SX_2.3	147.33	0	0	3.48	
-130	MG_MXLED_LEDHFL_NL3640_SX_2.3	158.67	0	0	3.74	
-131	MG_MXLED_LEDHFL_NL3900_SX_2.3	170	0	0	0.004	
-132	MG_MXLED_LEDHFL_NL4160_SX_2.3	281.33	0	0	4.26	
8094	MG_VSCIS_GEH_NL260_SX_1.2	90	0	0	0.65	
8093	MG_VSCIS_GEH_NL520_SX_1.2	233	0	0	1.125	
8092	MG_VSCIS_GEH_NL780_SX_1.2	210	0	0	1.598	
8091	MG_VSCIS_GEH_NL1040_SX_1.2	175	0	0	2.078	
8491	MG_VSCIS_LEDHA_NL260_SX_1.2	70	0	0	0.078	
8489	MG_VSCIS_LEDHA_NL390_SX_1.2	98	0	0	0.11	
8489	MG_VSCIS_LEDHA_NL520_SX_1.2	120	0	0	0.141	
8487	MG_VSCIS_LEDHA_NL780_SX_1.2	175	0	0	0.204	
